day,workers,drones,newWorker,newDrone,adults,workersum,dronesum
1,0,0,0,0,12185,0,0
2,0,0,0,0,12162,0,0
3,0,0,0,0,12139,0,0
4,0,0,0,0,12116,0,0
5,0,0,0,0,12093,0,0
6,0,0,0,0,12071,0,0
7,0,0,0,0,12048,0,0
8,0,0,0,0,12025,0,0
9,0,0,0,0,12002,0,0
10,0,0,0,0,11979,0,0
11,0,0,0,0,11957,0,0
12,0,0,0,0,11934,0,0
13,0,0,0,0,11911,0,0
14,0,0,0,0,11888,0,0
15,0,0,0,0,11865,0,0
16,0,0,0,0,11843,0,0
17,0,0,0,0,11820,0,0
18,0,0,0,0,11797,0,0
19,0,0,0,0,11774,0,0
20,0,0,0,0,11751,0,0
21,0,0,0,0,11728,0,0
22,0,0,0,0,11706,0,0
23,0,0,0,0,11683,0,0
24,0,0,0,0,11660,0,0
25,0,0,0,0,11637,0,0
26,0,0,0,0,11614,0,0
27,0,0,0,0,11592,0,0
28,0,0,0,0,11569,0,0
29,0,0,0,0,11546,0,0
30,0,0,0,0,11523,0,0
31,0,0,0,0,11500,0,0
32,0,0,0,0,11478,0,0
33,0,0,0,0,11455,0,0
34,0,0,0,0,11432,0,0
35,0,0,0,0,11409,0,0
36,0,0,0,0,11386,0,0
37,0,0,0,0,11364,0,0
38,0,0,0,0,11341,0,0
39,0,0,0,0,11318,0,0
40,0,0,0,0,11295,0,0
41,0,0,0,0,11272,0,0
42,0,0,0,0,11250,0,0
43,0,0,0,0,11227,0,0
44,0,0,0,0,11204,0,0
45,0,0,0,0,11181,0,0
46,0,0,0,0,11158,0,0
47,0,0,0,0,11135,0,0
48,0,0,0,0,11113,0,0
49,0,0,0,0,11090,0,0
50,0,0,0,0,11067,0,0
51,0,0,0,0,11044,0,0
52,0,0,0,0,11021,0,0
53,0,0,0,0,10999,0,0
54,0,0,0,0,10976,0,0
55,0,0,0,0,10953,0,0
56,0,0,0,0,10930,0,0
57,0,0,0,0,10907,0,0
58,0,0,0,0,10885,0,0
59,0,0,0,0,10862,0,0
60,0,0,0,0,10839,0,0
61,0,0,0,0,10816,0,0
62,0,0,0,0,10793,0,0
63,0,0,0,0,10771,0,0
64,0,0,0,0,10748,0,0
65,0,0,0,0,10725,0,0
66,0,0,0,0,10702,0,0
67,0,0,0,0,10679,0,0
68,0,0,0,0,10657,0,0
69,0,0,0,0,10634,0,0
70,0,0,0,0,10611,0,0
71,0,0,0,0,10588,0,0
72,0,0,0,0,10565,0,0
73,0,0,0,0,10542,0,0
74,0,0,0,0,10520,0,0
75,0,0,0,0,10497,0,0
76,0,0,0,0,10474,0,0
77,0,0,0,0,10451,0,0
78,0,0,0,0,10428,0,0
79,0,0,0,0,10406,0,0
80,0,0,0,0,10383,0,0
81,0,0,0,0,10360,0,0
82,0,0,0,0,10337,0,0
83,0,0,0,0,10314,0,0
84,0,0,0,0,10292,0,0
85,0,0,0,0,10269,0,0
86,0,0,0,0,10246,0,0
87,0,0,0,0,10223,0,0
88,0,0,0,0,10200,0,0
89,0,0,0,0,10178,0,0
90,0,0,0,0,10155,0,0
91,0,0,0,0,10132,0,0
92,0,0,0,0,10109,0,0
93,173,7,0,0,10086,0,0
94,370,15,0,0,10064,0,0
95,567,22,0,0,10041,0,0
96,764,30,2,0,10041,2,0
97,961,37,33,0,10041,35,0
98,1158,45,64,0,10041,99,0
99,1356,53,95,0,10041,194,0
100,1553,60,125,0,10041,319,0
101,1750,68,155,0,10041,474,0
102,1947,75,184,2,10041,658,2
103,2194,83,213,3,10041,871,5
104,2508,90,242,5,10041,1113,10
105,2823,98,270,6,10041,1383,16
106,3138,106,298,7,10041,1681,23
107,3453,113,325,9,10041,2006,32
108,3768,121,352,10,10041,2358,42
109,4083,128,379,11,10041,2737,53
110,4397,136,405,13,10057,3142,66
111,4712,144,431,14,10147,3573,80
112,5027,151,456,15,10236,4029,96
113,5342,159,481,17,10326,4510,112
114,5657,166,506,18,10415,5016,130
115,5972,174,530,19,10505,5546,149
116,6287,181,554,20,10595,6098,169
117,6600,189,577,21,10684,6642,190
118,6909,197,600,23,10774,7178,213
119,7219,204,623,24,10942,7706,237
120,7529,212,645,25,11125,8226,261
121,7838,219,667,26,11308,8738,287
122,8148,227,688,27,11491,9242,312
123,8458,234,709,28,11674,9738,337
124,8767,242,730,29,11858,10226,361
125,9077,250,750,30,12041,10706,385
126,9386,257,770,31,12305,11178,409
127,9696,265,789,32,12625,11642,432
128,10006,272,808,33,12946,12098,455
129,10315,280,827,34,13266,12546,477
130,10625,288,845,35,13587,12986,499
131,10935,295,863,36,13907,13418,521
132,11244,303,880,37,14228,13842,542
133,11554,310,897,37,14548,14258,563
134,11817,318,914,38,14869,14666,583
